ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,crime_rate,lag_1,lag_7
13832750,JJ251150,5/12/2025 1:00,006XX W OAKDALE AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1934,19,44,6,5,1171357.0,1919859.0,2025,5/20/2025 16:02,41.93556182,-87.6456612,"(41.935561824, -87.6456612)",38.0,4449.0,57.0,684.0,25.0,22.0,5.0,30.0,16.666666666666668,25.0,31.666666666666668
13832961,JJ251360,5/12/2025 1:00,020XX N CLARK ST,560,ASSAULT,SIMPLE,APARTMENT,False,False,1814,18,43,7,08A,1173852.0,1913957.0,2025,5/20/2025 16:02,41.91931122,-87.63666824,"(41.919311217, -87.636668238)",51.0,21190.0,68.0,207.0,34.0,16.0,14.0,134.0,21.666666666666668,15.0,15.0
13833190,JJ251790,5/12/2025 1:00,001XX N ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1224,12,27,28,08B,1165723.0,1901273.0,2025,5/20/2025 16:02,41.88468277,-87.66689711,"(41.88468277, -87.66689711)",41.0,14917.0,29.0,63.0,46.0,44.0,15.0,92.0,65.0,36.66666666666667,45.0
13832871,JJ251220,5/12/2025 1:00,004XX N AUSTIN BLVD,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,1512,15,29,25,04B,1136304.0,1902224.0,2025,5/20/2025 16:02,41.88786856,-87.77490644,"(41.88786856, -87.774906441)",,22216.0,,672.0,,,,,33.333333333333336,58.333333333333336,46.66666666666667
13832966,JJ251448,5/12/2025 1:00,024XX W MADISON ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,False,True,1222,12,27,28,20,1160142.0,1899943.0,2025,5/20/2025 16:02,41.88115024,-87.6874281,"(41.881150235, -87.687428095)",48.0,21184.0,29.0,785.0,46.0,28.0,16.0,138.0,65.0,36.66666666666667,45.0
13832867,JJ251151,5/12/2025 1:04,010XX N LOCKWOOD AVE,460,BATTERY,SIMPLE,ALLEY,False,True,1524,15,37,25,08B,1140835.0,1906400.0,2025,5/20/2025 16:02,41.89924589,-87.75816408,"(41.899245889, -87.758164082)",4.0,4299.0,26.0,562.0,45.0,5.0,25.0,67.0,33.333333333333336,58.333333333333336,46.66666666666667
13832842,JJ251184,5/12/2025 1:15,036XX S RHODES AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,212,2,4,35,5,1180179.0,1881011.0,2025,5/20/2025 16:02,41.82876229,-87.61443616,"(41.828762287, -87.614436164)",1.0,4301.0,1.0,561.0,10.0,36.0,24.0,101.0,15.0,18.333333333333336,21.666666666666668
13832834,JJ251176,5/12/2025 1:16,065XX S STEWART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,722,7,6,68,14,1174749.0,1861633.0,2025,5/20/2025 16:02,41.7757101,-87.634936,"(41.775710104, -87.634935999)",53.0,21559.0,66.0,435.0,4.0,11.0,17.0,201.0,20.0,6.666666666666667,23.333333333333336
13832755,JJ251160,5/12/2025 1:20,030XX S ALBANY AVE,5112,OTHER OFFENSE,GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION,STREET,True,False,1033,10,25,30,26,1156176.0,1884309.0,2025,5/20/2025 16:02,41.83832982,-87.70241291,"(41.838329823, -87.702412913)",29.0,21569.0,32.0,124.0,1.0,57.0,21.0,160.0,16.666666666666668,13.333333333333334,11.666666666666668
13832794,JJ251152,5/12/2025 1:23,109XX S CHURCH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2212,22,19,75,14,1167386.0,1832230.0,2025,5/20/2025 16:02,41.69518488,-87.66276784,"(41.695184879, -87.662767838)",33.0,22212.0,74.0,380.0,42.0,13.0,9.0,257.0,8.333333333333334,11.666666666666668,8.333333333333334
